id,observed_on,user_id,user_name,quality_grade,latitude,longitude,scientific_name,common_name
2559706,2016-01-05,2873,James Maughn,research,36.8800901364,-121.8969430404,Amanita phalloides,Deathcap
2564341,2016-01-07,3494,Damon Tighe,research,38.054,-122.806755,Amanita phalloides,Deathcap
2574691,2016-01-11,26610,Robin Gwen Agarwal,research,37.521819,-122.514511,Amanita phalloides,Deathcap
2578223,2016-01-11,5327,Di,research,38.404803,-122.692781,Amanita phalloides,Deathcap
2822413,2016-03-22,5179,Christian Schwarz,research,34.0959388333,-118.7195283333,Amanita phalloides,Deathcap
3420631,2016-06-09,23598,Katherine Wright,research,37.522,-122.5155,Amanita phalloides,Deathcap
3547418,2009-10-15,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3547860,2010-10-17,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3550094,2014-08-07,5179,Christian Schwarz,research,37.02855,-121.8805,Amanita phalloides,Deathcap
3551957,2014-11-03,5179,Christian Schwarz,research,36.96835,-121.9925,Amanita phalloides,Deathcap
3570828,2015-12-05,5179,Christian Schwarz,research,36.9904,-122.059,Amanita phalloides,Deathcap
3570911,2016-01-05,5179,Christian Schwarz,research,36.99115,-122.053,Amanita phalloides,Deathcap
3571011,2016-01-12,5179,Christian Schwarz,research,36.99115,-122.053,Amanita phalloides,Deathcap
3590671,2010-10-17,258652,"",research,41.7285,-70.6137,Amanita phalloides,Deathcap
3591293,2010-01-30,258652,"",research,38.0848,-122.8675,Amanita phalloides,Deathcap
3591298,2010-01-28,258652,"",research,36.9904,-122.059,Amanita phalloides,Deathcap
3591426,2012-12-22,258652,"",research,36.9904,-122.059,Amanita phalloides,Deathcap
3591445,2012-12-28,258652,"",research,35.27585,-120.6435,Amanita phalloides,Deathcap
4036757,2016-09-02,235833,,research,38.0846656239,-122.8714799881,Amanita phalloides,Deathcap
4082210,2016-09-09,235833,,research,38.0846656239,-122.8714799881,Amanita phalloides,Deathcap
4103009,2016-09-13,5179,Christian Schwarz,research,36.9878916667,-122.0279611667,Amanita phalloides,Deathcap
4440061,2016-10-25,151034,Courtney and Patrick Roach,research,37.4384583333,-122.175775,Amanita phalloides,Deathcap
4483804,2016-11-02,3494,Damon Tighe,research,37.8082783333,-122.2611916667,Amanita phalloides,Deathcap
4505898,2016-11-06,364713,Ryan S Terrill,research,36.4818216667,-121.7406083333,Amanita phalloides,Deathcap
4509512,2016-11-06,6097,Matt Brady,research,36.4818619808,-121.740461872,Amanita phalloides,Deathcap
4513819,2016-11-07,3494,Damon Tighe,research,37.80833,-122.2612383333,Amanita phalloides,Deathcap
4514591,2016-11-07,171454,Melina Kozanitas,research,38.4067139961,-122.8458659818,Amanita phalloides,Deathcap
4514820,2014-11-24,9335,Leslie Flint,research,37.9319620681,-122.6808714867,Amanita phalloides,Deathcap
4514830,2016-11-07,5179,Christian Schwarz,research,36.954525,-121.8647783333,Amanita phalloides,Deathcap
4531735,2016-11-11,3057,Clifford Hawley,research,38.63434347,-121.33884894,Amanita phalloides,Deathcap
4573453,2016-11-14,270648,"",research,36.999831493,-121.9377069848,Amanita phalloides,Deathcap
4575186,2016-11-14,3494,Damon Tighe,research,45.4992133333,-122.840325,Amanita phalloides alba,
4577118,2016-11-15,5179,Christian Schwarz,research,37.0818445,-122.0614083333,Amanita phalloides,Deathcap
4579305,2016-11-15,5179,Christian Schwarz,research,37.0838805,-122.0616221667,Amanita phalloides,Deathcap
4579652,2016-11-15,359639,Ken Koll,research,37.0847841118,-122.0618527557,Amanita phalloides,Deathcap
4584262,2016-11-16,369013,"",research,37.0255646529,-121.74549778,Amanita phalloides,Deathcap
4584810,2016-11-16,369013,"",research,37.0256502626,-121.7457263897,Amanita phalloides,Deathcap
4584842,2016-11-15,24754,David Greenberger,research,37.9597473145,-122.6115264893,Amanita phalloides,Deathcap
4585788,2008-12-14,340368,"",research,38.65454699,-120.8672904968,Amanita phalloides,Deathcap
4585789,2008-12-14,340368,"",research,38.65454699,-120.8672904968,Amanita phalloides,Deathcap
4588358,2016-11-16,47230,"",research,37.7886984637,-122.135312101,Amanita phalloides,Deathcap
4589837,2016-11-17,273175,Zeka Elaine,research,36.9918208709,-122.0542071295,Amanita phalloides,Deathcap
4591092,2016-11-17,5179,Christian Schwarz,research,37.0353888333,-121.746605,Amanita phalloides,Deathcap
4592080,2016-11-17,9335,Leslie Flint,research,37.1991592584,-122.2877025604,Amanita phalloides,Deathcap
4592106,2016-11-17,16101,Donna Pomeroy,research,37.1975169256,-122.2920140773,Amanita phalloides,Deathcap
4602901,2016-11-19,2873,James Maughn,research,37.0207651457,-121.914698481,Amanita phalloides,Deathcap
4609146,2016-11-19,5179,Christian Schwarz,research,37.0901111667,-122.2620466667,Amanita phalloides,Deathcap
4609217,2016-11-20,26610,Robin Gwen Agarwal,research,36.9637177,-121.8391808,Amanita phalloides,Deathcap
4609371,2016-11-19,5179,Christian Schwarz,research,37.0884695,-122.2639783333,Amanita phalloides,Deathcap
4611327,2016-11-21,273175,Zeka Elaine,research,37.0003433386,-121.9834193588,Amanita phalloides,Deathcap
4612767,2016-11-21,369566,"",research,36.99628309,-122.06707527,Amanita phalloides,Deathcap
4614397,2016-11-21,24754,David Greenberger,research,37.8650054932,-122.5199508667,Amanita phalloides,Deathcap
4614579,2016-11-20,3494,Damon Tighe,research,37.786995,-122.1622,Amanita phalloides,Deathcap
4614580,2016-11-20,3494,Damon Tighe,research,37.7848583333,-122.1574028333,Amanita phalloides,Deathcap
4614581,2016-11-20,3494,Damon Tighe,research,37.7825866667,-122.1549528333,Amanita phalloides,Deathcap
4614582,2016-11-20,3494,Damon Tighe,research,37.782045,-122.1553278333,Amanita phalloides,Deathcap
4614584,2016-11-20,3494,Damon Tighe,research,37.7916633333,-122.1653361667,Amanita phalloides,Deathcap
4614585,2016-11-20,3494,Damon Tighe,research,37.789925,-122.1639333333,Amanita phalloides,Deathcap
4614591,2016-11-20,3494,Damon Tighe,research,37.7898984589,-122.1637248249,Amanita phalloides,Deathcap
4614608,2016-11-20,3494,Damon Tighe,research,37.7813833333,-122.1528028333,Amanita phalloides,Deathcap
4614611,2016-11-20,3494,Damon Tighe,research,37.7819666667,-122.153,Amanita phalloides,Deathcap
4614715,2016-11-20,3494,Damon Tighe,research,37.7851333333,-122.1583721667,Amanita phalloides,Deathcap
4615094,2016-11-18,3494,Damon Tighe,research,37.78188,-122.1524055,Amanita phalloides,Deathcap
4615103,2016-11-18,3494,Damon Tighe,research,37.7814633333,-122.1518638333,Amanita phalloides,Deathcap
4615111,2016-11-18,3494,Damon Tighe,research,37.7803916667,-122.1496805,Amanita phalloides,Deathcap
4615116,2016-11-18,3494,Damon Tighe,research,37.7798416667,-122.1490555,Amanita phalloides,Deathcap
4615124,2016-11-18,3494,Damon Tighe,research,37.779505,-122.1488333333,Amanita phalloides,Deathcap
4615136,2016-11-18,3494,Damon Tighe,research,37.7769083333,-122.1450416667,Amanita phalloides,Deathcap
4616956,2016-11-22,369013,"",research,37.0243718583,-121.744707797,Amanita phalloides,Deathcap
4619966,2016-11-21,462,Barbara Banfield,research,37.3143375379,-122.0613611844,Amanita phalloides,Deathcap
4622880,2016-11-23,7302,Liz Gottlieb,research,38.0622111667,-122.588395,Amanita phalloides,Deathcap
4622905,2016-11-23,7302,Liz Gottlieb,research,38.051384,-122.572822,Amanita phalloides,Deathcap
4623788,2016-11-23,13979,Liam O'Brien,research,37.9255833333,-122.1724466667,Amanita phalloides,Deathcap
4627340,2016-11-23,179103,Cat Chang,research,37.9238818426,-122.1719741786,Amanita phalloides,Deathcap
4627347,2016-11-23,9335,Leslie Flint,research,37.47815,-122.2864694444,Amanita phalloides,Deathcap
4631145,2016-11-24,170354,Peter Vahlberg,research,37.2320163737,-122.0688086211,Amanita phalloides,Deathcap
4631220,2016-11-24,170354,Peter Vahlberg,research,37.2373625834,-122.0694066703,Amanita phalloides,Deathcap
4631237,2016-11-23,273175,Zeka Elaine,research,36.9882108691,-122.0677216073,Amanita phalloides,Deathcap
4631264,2016-11-24,170354,Peter Vahlberg,research,37.2380222174,-122.0693871421,Amanita phalloides,Deathcap
4631313,2016-11-24,170354,Peter Vahlberg,research,37.2367090023,-122.0699348087,Amanita phalloides,Deathcap
4631543,2016-11-24,2873,James Maughn,research,37.0874058281,-122.0664360524,Amanita phalloides,Deathcap
4631597,2016-11-24,170354,Peter Vahlberg,research,37.2389388972,-122.0725074827,Amanita phalloides,Deathcap
