id,time_observed_at,user_id,user_name,latitude,longitude,scientific_name
181894079,2023-09-05 11:53:07 UTC,5006580,Laura Z.,55.2140823562,21.6415320925,Aureoboletus projectellus
182084631,2023-09-06 12:23:00 UTC,5797646,Dawid Adamczyk,54.6935366667,17.1468233333,Aureoboletus projectellus
182153949,2023-09-07 07:20:14 UTC,945323,Žygimantas Valiuška,55.4969216667,21.1027638333,Aureoboletus projectellus
182429915,2023-09-09 06:53:56 UTC,783795,Rasa Gaidiene,57.75748,22.5905883333,Aureoboletus projectellus
182522965,2023-09-06 15:00:22 UTC,5304262,,55.2374014459,20.9251885861,Aureoboletus projectellus
182537280,2023-09-09 16:01:51 UTC,7121491,Paweł Garski,54.3382000573,18.959399946,Aureoboletus projectellus
183216355,2023-09-09 12:13:00 UTC,5443635,Karolina Klimaitė,55.3037144854,21.0040645264,Aureoboletus projectellus
183250280,2023-08-15 06:21:00 UTC,7401737,Alfas,54.094442,24.259206,Aureoboletus projectellus
183254117,2023-08-15 06:21:00 UTC,7401737,Alfas,54.0917633741,24.2741623896,Aureoboletus projectellus
183269423,,7402374,"",55.3835225978,21.4866694808,Aureoboletus projectellus
183320133,2023-09-09 05:41:49 UTC,7403965,Linas Dapkus,55.9778633333,21.0735471667,Aureoboletus projectellus
183394754,2023-09-14 01:19:59 UTC,7406732,Ceslovas Rastutis,56.1620128231,21.2638248503,Aureoboletus projectellus
183476988,2023-09-14 10:03:13 UTC,6690013,Martynas Velicka,55.54015,21.1048445,Aureoboletus projectellus
183502838,2023-09-16 11:38:28 UTC,3050953,,54.3474583333,18.9329583333,Aureoboletus projectellus
183645080,2023-09-17 10:55:13 UTC,7402224,irena kavaliauskiene,54.2178315,24.5707846,Aureoboletus projectellus
183810502,2023-09-17 15:53:45 UTC,7413273,Agata Krajewska,52.96681243,18.83763558,Aureoboletus projectellus
183810513,2023-09-17 15:55:16 UTC,7413273,Agata Krajewska,52.9668881,18.83777859,Aureoboletus projectellus
183810528,2023-09-17 15:56:27 UTC,7413273,Agata Krajewska,52.96677455,18.837591,Aureoboletus projectellus
183810553,2023-09-17 15:58:33 UTC,7413273,Agata Krajewska,52.96680253,18.83778557,Aureoboletus projectellus
183939815,2023-09-14 08:46:31 UTC,7402224,irena kavaliauskiene,54.1974234863,24.5188772678,Aureoboletus projectellus
184080898,2023-09-19 15:55:31 UTC,5791989,Marek Maciantowicz,51.8169753394,15.3732962161,Aureoboletus projectellus
184083001,2023-09-19 08:26:11 UTC,7425550,Darius Galinskas,55.6336453184,21.3203876093,Aureoboletus projectellus
184701393,2023-09-24 14:56:48 UTC,7413273,Agata Krajewska,52.972415484,18.8468323275,Aureoboletus projectellus
184701572,2023-09-24 14:58:16 UTC,7413273,Agata Krajewska,52.9647406,18.8616047,Aureoboletus projectellus
184702250,2023-09-24 15:01:21 UTC,7413273,Agata Krajewska,52.9602262,18.8573234,Aureoboletus projectellus
184744371,2023-09-24 10:04:00 UTC,2620009,"",54.2084474933,24.689097423,Aureoboletus projectellus
184850654,2023-09-22 14:58:41 UTC,4406471,Olsza Borys,54.3442542,18.9336921997,Aureoboletus projectellus
184876650,2023-09-25 10:27:10 UTC,7401737,Alfas,54.0405888,24.3956912,Aureoboletus projectellus
185061261,2023-09-19 16:16:43 UTC,2883760,Galina Shapoval (Kuftina),55.0895916667,20.73585,Aureoboletus projectellus
185122373,2023-09-27 10:21:01 UTC,3431812,Antanas Petraška,54.6764713462,18.7347109616,Aureoboletus projectellus
185171322,,7458429,Mantas Karecka,55.9773056236,22.1142239124,Aureoboletus projectellus
185247812,2023-09-28 07:17:00 UTC,609518,Kazimieras Martinaitis,54.930659426,23.7085436458,Aureoboletus projectellus
185393412,2023-09-29 07:27:00 UTC,4361490,,50.6646479722,21.023661,Aureoboletus projectellus
185397368,2023-09-29 08:13:07 UTC,1575747,Paweł Fortuna,51.979489,15.330802,Aureoboletus projectellus
186379719,2023-09-27 08:08:00 UTC,7492230,,55.2757679005,26.0554195933,Aureoboletus projectellus
186379990,2023-09-19 08:20:00 UTC,7492230,,54.955635,25.6696903,Aureoboletus projectellus
186380666,2023-10-03 13:03:05 UTC,7492255,Vitalijus Sadrejevas,54.9696073049,23.534563221,Aureoboletus projectellus
186398402,2023-10-06 13:04:09 UTC,3557109,Sławomir Karpicki-Ignatowski,54.602,18.8225166667,Aureoboletus projectellus
186433479,2023-10-06 09:37:00 UTC,7493848,,55.3559569204,26.0601663954,Aureoboletus projectellus
186523639,,7495662,Dainius Vaitkevičius,55.2408073203,25.9738730639,Aureoboletus projectellus
186662644,,5746902,Ivan Zubkovych,51.9127576048,25.7461766526,Aureoboletus projectellus
186671775,2023-10-07 09:47:03 UTC,5652150,"",54.2109549997,24.5069857,Aureoboletus projectellus
186691130,2023-09-17 08:13:45 UTC,7499103,,55.5196883333,21.1032638333,Aureoboletus projectellus
186900773,2023-09-21 14:24:57 UTC,3143581,Konstantin Dobysh,54.6835632222,25.9904289167,Aureoboletus projectellus
187013995,2023-09-27 08:41:57 UTC,7506721,Vytautas Steponavičius,55.3407861111,26.0325861111,Aureoboletus projectellus
187247429,2023-10-12 14:33:53 UTC,5216872,Saulius Černevičius,54.0621555,24.1251361667,Aureoboletus projectellus
188438885,2020-09-24 10:36:07 UTC,7497024,,55.9365083333,21.0670638333,Aureoboletus projectellus
188547297,2023-10-08 10:44:11 UTC,7542149,Mirosław Wantoch-Rekowski,54.7898998,17.7093509,Aureoboletus projectellus
189661678,2023-11-01 13:38:47 UTC,6924318,,52.2985596629,13.7422673777,Aureoboletus projectellus
190650400,2023-10-24 09:34:04 UTC,6562215,René Jarling,52.0519866667,12.9278216667,Aureoboletus projectellus
191941079,2021-08-28 08:26:31 UTC,4171327,Lukas Volungevičius,54.2360158549,23.993077569,Aureoboletus projectellus
192221368,2016-08-27 10:01:00 UTC,2896749,Magdalena Jędro,54.7126478048,17.2456169077,Aureoboletus projectellus
196934053,2021-09-29 14:31:00 UTC,7110311,,52.2947850801,13.0841350137,Aureoboletus projectellus
